student_id,course,grade
34302,DRAM101,F
34303,DRAM101,D
34304,DRAM101,D
34305,DRAM101,E
34306,DRAM101,E
34307,DRAM101,D
34308,DRAM101,A
34309,DRAM101,A
34310,DRAM101,D
34311,DRAM101,E
34312,DRAM101,E
34313,DRAM101,D
34314,DRAM101,D
34315,DRAM101,E
34316,DRAM101,F
34292,MATH102,F
34293,MATH102,C
34294,MATH102,F
34295,MATH102,B
34296,MATH102,E
34297,MATH102,B
34298,MATH102,C
34299,MATH102,A
34300,MATH102,E
34301,MATH102,C
34302,MATH102,B
34303,MATH102,F
34304,MATH102,F
34305,MATH102,C
34306,MATH102,E
34307,MATH102,A
34308,ARTT101,E
34309,ARTT101,F
34310,ARTT101,C
34311,ARTT101,F
34312,ARTT101,D
34313,ARTT101,F
34314,ARTT101,C
34315,ARTT101,D
34316,ARTT101,A
34292,COMP101,A
34293,COMP101,C
34294,COMP101,C
34295,DESN101,C
34296,DESN101,C
34297,DESN101,A
34298,COMP101,D
34299,COMP101,F
34300,COMP101,F
34301,COMP101,D
34302,COMP101,E
34303,COMP101,E
34304,COMP101,B
34305,COMP101,C
34306,COMP101,D
34307,COMP101,B
34308,DESN101,E
34309,DESN101,B
34310,DESN101,C
34311,DESN101,D
34312,DESN101,E
34313,DESN101,D
34314,DESN101,A
34315,DESN101,A
34316,DESN101,A
